name,party,BT-Period
Mario Brandenburg,FDP,20
Stephan Brandner,AfD,20
Jürgen Braun,AfD,20
Silvia Breher,CDU,20
Sebastian Brehm,CSU,20
Leni Breymaier,SPD,20
Katrin Budde,SPD,20
Marcus Bühl,AfD,20
Karlheinz Busen,FDP,20
Petr Bystron,AfD,20
Anna Christmann,GRÜNE,20
Tino Chrupalla,AfD,20
Joana Cotar,Plos,20
Carl-Julius Cronenberg,FDP,20
Gottfried Curio,AfD,20
Astrid Damerow,CDU,20
Esther Dilcher,SPD,20
Anke Domscheit-Berg,DIE LINKE,20
Christian Dürr,FDP,20
Thomas Ehrhorn,AfD,20
Thomas Erndl,CSU,20
Wiebke Esdar,SPD,20
Michael Espendiller,AfD,20
Marcus Faber,FDP,20
Yasmin Fahimi,SPD,20
Peter Felser,AfD,20
Susanne Ferschl,DIE LINKE,20
Daniel Föst,FDP,20
Dietmar Friedhoff,AfD,20
Markus Frohnmaier,AfD,20
Götz Frömming,AfD,20
Alexander Gauland,AfD,20
Stefan Gelbhaar,GRÜNE,20
Albrecht Glaser,AfD,20
Kay Gottschalk,AfD,20
Timon Gremmels,SPD,20
Erhard Grundl,GRÜNE,20
Thomas Hacker,FDP,20
Mariana Iris Harder-Kühnel,AfD,20
Jochen Haug,AfD,20
Thomas Heilmann,CDU,20
Katrin Helling-Plahr,FDP,20
Marc Henrichmann,CDU,20
Markus Herbrand,FDP,20
Torsten Herbst,FDP,20
Martin Hess,AfD,20
Katja Hessel,FDP,20
Karsten Hilse,AfD,20
Nicole Höchst,AfD,20
Gero Clemens Hocker,FDP,20
Bettina Hoffmann,GRÜNE,20
Christoph Hoffmann,FDP,20
Leif-Erik Holm,AfD,20
Ottmar Holtz,GRÜNE,20
Reinhard Houben,FDP,20
Johannes Huber,Plos,20
Fabian Jacobi,AfD,20
Marc Jongen,AfD,20
Ingmar Jung,CDU,20
Elisabeth Kaiser,SPD,20
Stefan Keuter,AfD,20
Michael Kießling,CSU,20
Karsten Klein,FDP,20
Norbert Kleinwächter,AfD,20
Katharina Kloke,FDP,20
Katharina Willkomm,FDP,20
Daniela Kluckert,FDP,20
Lukas Köhler,FDP,20
Enrico Komning,AfD,20
Jörn König,AfD,20
Carina Konrad,FDP,20
Steffen Kotré,AfD,20
Rainer Kraft,AfD,20
Konstantin Kuhle,FDP,20
Alexander Lambsdorff,FDP,20
Ulrich Lechte,FDP,20
Jens Lehmann,CDU,20
Sven Lehmann,GRÜNE,20
Helge Lindh,SPD,20
Bernhard Loos,CSU,20
Rüdiger Lucassen,AfD,20
Heiko Maas,SPD,20
Astrid Mannes,CDU,20
Till Mansmann,FDP,20
Pascal Meiser,DIE LINKE,20
Christoph Meyer,FDP,20
Corinna Miazga,AfD,20
Amira Mohamed Ali,BSW,20
Falko Mohrs,SPD,20
Claudia Moll,SPD,20
Siemtje Möller,SPD,20
Alexander Müller,FDP,20
Axel Müller,CDU,20
Claudia Müller,GRÜNE,20
Sepp Müller,CDU,20
Frank Müller-Rosentritt,FDP,20
Sebastian Münzenmaier,AfD,20
Zaklin Nastic,BSW,20
Petra Nicolaisen,CDU,20
Jan Ralf Nolte,AfD,20
Josephine Ortleb,SPD,20
Josef Oster,CDU,20
Gerold Otten,AfD,20
Sören Pellmann,DIE LINKE,20
Victor Perli,DIE LINKE,20
Tobias Matthias Peterka,AfD,20
Stephan Pilsinger,CSU,20
Christoph Ploß,CDU,20
Jürgen Pohl,AfD,20
Filiz Polat,GRÜNE,20
Stephan Protschka,AfD,20
Martin Reichardt,AfD,20
Martin Erwin Renner,AfD,20
Bernd Reuther,FDP,20
Bernd Riexinger,DIE LINKE,20
Manuela Rottmann,GRÜNE,20
Stefan Rouenhoff,CDU,20
Thomas Sattelberger,FDP,20
